,devs,genders,countries
0,147842,male,None
1,166169,male,germany
2,140360,female,germany
3,133169,male,None
4,59772,male,germany
5,39330,male,None
6,1922095,None,None
7,995732,male,None
8,26299,male,germany
9,26293,male,None
10,2425,male,germany
11,2426,male,germany
12,57766,male,None
13,826070,male,None
14,1062062,male,None
15,237023,male,None
16,1532880,None,None
17,464153,male,None
18,145915,male,None
19,422175,male,None
20,670968,male,None
21,520177,male,None
22,105735,male,None
23,280828,None,None
24,4743,female,None
25,271304,male,None
26,2362922,male,None
27,1030263,male,None
28,84405,male,ukraine
29,73047,male,united states
30,569078,male,None
31,1241037,None,None
32,104919,male,brazil
33,286464,male,None
34,257131,male,None
35,249939,male,None
36,130405,male,united states
37,1805303,male,None
38,23515,male,united states
39,69670,male,brazil
40,23374,male,None
41,172274,male,united states
42,5240,male,None
43,6675,None,None
44,247285,male,None
45,875157,male,None
46,117953,male,None
47,5214,male,None
48,35372,male,None
49,944001,male,None
50,433338,male,None
51,5241,male,None
52,5203,male,united states
53,71035,male,None
54,514503,male,france
55,1095964,male,None
56,3710,male,austria
57,1599140,male,None
58,116805,male,united states
59,1946,male,united kingdom
60,249420,male,None
61,1954067,male,None
62,1928207,male,None
63,2128774,male,None
64,1928232,male,None
65,1932137,None,None
66,1928161,male,None
67,554219,female,None
68,537340,male,None
69,1378583,male,finland
70,41811,male,united states
71,506641,None,None
72,41466,male,united states
73,11295,male,poland
74,74880,male,germany
75,100693,male,united states
76,86797,male,brazil
77,12341,male,canada
78,487106,male,united states
79,60903,male,united states
80,212517,male,united states
81,35216,male,united states
82,437688,male,None
83,464249,male,None
84,9997,male,united states
85,195000,male,united kingdom
86,15574,male,united states
87,1001826,None,None
88,1532919,male,None
89,149324,male,united states
90,8578,male,united states
91,94940,male,None
92,422724,male,None
93,50106,male,None
94,111669,male,None
95,120332,male,united states
96,364922,male,None
97,222570,None,None
98,526448,male,poland
99,127970,male,united states
100,672001,male,None
101,213147,female,None
102,250451,male,france
103,172373,male,canada
104,144559,male,united kingdom
105,144562,male,united kingdom
106,144558,male,united kingdom
107,144569,male,united kingdom
108,863714,None,None
109,1021028,male,None
110,122339,male,united kingdom
111,2439622,male,None
112,1349575,male,None
113,123769,male,None
114,244499,male,united kingdom
115,309354,male,united kingdom
116,566617,male,None
117,77572,male,united kingdom
118,1297009,male,None
119,163676,male,None
120,1441716,male,None
121,265570,male,france
122,15468,male,None
123,98364,male,None
124,367812,male,None
125,204524,male,None
126,142433,male,netherlands
127,38180,male,israel
128,708487,male,None
129,708515,male,None
130,359231,None,None
131,359236,male,None
132,708513,male,None
133,1889588,male,None
134,359182,male,None
135,449688,male,None
136,359184,male,None
137,359211,male,None
138,359186,male,None
139,708488,male,None
140,1056595,male,None
141,359208,None,None
142,343556,male,None
143,101265,male,united states
144,151742,None,None
145,279551,male,None
146,708489,female,None
147,312322,male,None
148,1239317,male,None
149,708493,male,None
150,24543,male,None
151,65529,male,united states
152,26480,male,None
153,684849,male,united states
154,407478,male,None
155,352479,male,germany
156,70173,None,None
157,8363,male,united states
158,98689,male,south africa
159,70176,male,united states
160,778024,male,australia
161,10647,female,australia
162,1732841,male,None
163,188405,male,None
164,88854,male,new zealand
165,34724,None,None
166,26284,male,france
167,62544,male,united states
168,17485,None,None
169,179737,male,canada
170,948523,male,south africa
171,20162,male,united states
172,108926,male,None
173,99674,male,united states
174,1325966,male,None
175,1708254,male,None
176,2380902,male,None
177,1767151,male,None
178,797089,male,None
179,390100,male,None
180,6266,male,canada
181,142144,male,canada
182,69898,male,None
183,142143,male,canada
184,143200,None,None
185,1646290,male,None
186,1390955,male,canada
187,1390894,male,united kingdom
188,1417472,male,None
189,169857,male,switzerland
190,641205,male,None
191,164795,male,switzerland
192,8634,male,switzerland
193,45381,male,switzerland
194,76675,male,switzerland
195,355581,male,None
196,872352,male,None
197,336615,None,None
198,17613,male,united states
199,2088679,male,None
200,354297,male,united states
